WomanID,FirstName,LastName,CoolFacts,BirthYear,DeathYear,CountryBirth,Nationality,Ethnicity,Education,FieldStudy,InstitutionCorporation,Awards,Achievements,DegreesMemberships,Quotes,Keeper,WriteupFull,WriteupShort
1,Berenice,Abbott,*Studied sculpture & theater in Paris *Took portraits of people in the arts & literary worlds like Jean Cocteau & James Joyce *Was an apprentice to Man Ray *Preserved the works of Eugene Atget *Documented changes in NY through pictures *Travelled US 1 from Florida to Maine taking over 2500 pictures of antebellum architecture & automobile related architecture *Invented a distortion enlarging easel & the telescopic lighting pole (now called autopole) *Produced photos for a physics textbook *Held 4 patents,1898,1991,USA,USA,White,2 semesters at Ohio State University; Academie de la Grande Chaumiere; Prussin Academy of Arts,"Photography, Inventor",MOMA; MIT,none found,"Preserved the photographic works of Eugene Atget; documented 1930s architectural nature of NYC on film; took portraits of cultural figures like James Joyce & Eugene Atget; co-founder of House of Photography a company that developed & sold photography equipment & devices; holds 4 patents for photograpic equipment; invented a cotton vest with numerous pockets to hold photography equipment (not patented); 1939-1960 combined science & photography taking pictures to depict scientific theories including pictures for a high school physics textbook, many of these pictures were displayed at MIT; did studies on light & motion;",none,NULL,yes,NULL,NULL
2,Rediet,Abebe,"*1st female & Black computer scientist appointed to the Harvard Society of Fellows *Founded MD4SG & Black in AI *Born & raised in Addis Ababa, Ethiopia; left for educational purposes *Developes techniques in AI & algorithms with a focus on inequality & distributive justice *1st Black female professor in Electrical Engineering & Computer Science Dept at UC Berkeley",1991,NULL,Ethiopia,Ethiopia,Black,"Cornell University (Ph.D., M.S.)University of Cambridge (M.A.)Harvard University (M.S., B.A.)","Computer Science; Artificial Intelligence ","University of California, Berkeley"," Andrew Carnegie Fellow (2022); Harvard Society of Fellows (2019); MIT Technology Review Innovators Under 35 (2019); 2020, ACM SIGKDD Dissertation Award; 2020, Innovation for Equity, Rising Star Award; 2020, 100 Most Influential Young Africans, Afican Youth Award; 2018, Bloomberg 50, One to Watch; 2018, Harvard-Cambridge Fellowship",first woman computer scientist to be appointed to the Harvard Society of Fellows,"Member: Berkeley Artificial Intelligence Research Lab (BAIR); Berkeley Institute for Data Science (BIDS), Center for Information Technologyn Research in the Interest of Society-the Banatao Institute (CITRIS); Center for the Theoretical Foundations of Learning, Inference, Information, Intelligence, Mathematics, & Microeconomics at Berkeley (CLIMB); Berkeley Equity & Access in Algorithms, Mechanisms, & Optimization Research Group (BEAAMO); MD4SG; Black in AI",NULL,yes,NULL,NULL
3,Lilia Ann,Abron,"*1st Black female to earn a PhD in chemical engineering *Born prematurely at home in Memphis, TN & taken by cab to hospital because ambulances weren't available to Blacks in Memphis at the time *Was a girl scout & sang in her church choir *Founder of PEER in US & Africa; goal is to solve environmental problems in providing sustainable housing to the poor *Her company provides financial support to science fair participants",1945,NULL,USA,USA,Black,"LeMoyne-Owen College BS Chemistry 1966; Washington University, St. Louis MS Environmental Engineering 1968; University of Iowa PhD Chemical Engineering 1972",Chemical Engineering; Environmental Engineering,Tennessee State University; Vanderbilt University; Howard University; University of DC; PEER Consultants,"William W. Grimes Award for Excellence in Chemical Engineering, American Institute of Chemical Engineers, 1993; Hancher-Finkbine Alumni Medallion, Finkbine Society of the University of Iowa, 1999; National Black College Alumni Hall of Fame, 1999; Magic Hands Award, LeMoyne-Owen College, May 2001; Alumni Achievement Award, Washington University School of Engineering & Applied Science, 2001; Superior Achievement, American Academy of Environmental Engineers & Scientists, 2012",first African-American woman to earn a PhD in chemical engineering,"Member:  Engineering Distinguished Alumni Academy @ the University of Iowa, 1996; American Academy of Arts & Science, 2004 Fellow",NULL,yes,NULL,NULL
4,Jane,Addams,"*Leader in social work & women's suffrage *Co-founder of Hull House in Chicago *1st person to receive an honorary degree (MA) from Yale University *1931, 1st American female recipient of Nobel Peace Prize *At age 4, developed Potts disease (TB of the spine) which caused curvature of the spine & lifelong health problems *Part of the 1st wave of American females to receive a college education *Believed art was an important element of education 1901, founded what would ultimately become the Juvenile Probation Association, providing probation officers for Juvenile Court",1860,1935,USA,USA,White,"1881, graduated valedictorian Rockford Female Seminary, awarded Bachelors following year; 1910, received first honorary degree ever awarded to a female from Yale University",Sociology; Public Administration,Carnegie Foundation,"1931 Nobel Peace Prize; honored with a postal stamp in 1940, Famous American s Series; 12/10/2007, First Jane Addams Day in Illinois; Jane Addams Memorial Park near Navy Pier named aftere her; College of Social Work at University of Illinois at Chicago named after her; 1973 inducted into National Women's Hall of Fame; 2008, inducted into Chicago Gay and Lesbian Hall of Fame; 2012, inducted into Chicago Literary Hall of Fame; 2012, inducted into the Legacy Walk; 2014, inducted into San Francisco s Rainbow Honor Walk",1931 Nobel Peace Prize,Honorary Degree: Yale University; Member:  Playground Association of America; American Sociological Society; NAACP; National Child Labor Committee,"“Hull-House was soberly opened on the theory that the dependence of classes on each other is reciprocal,” Addams later wrote.",yes,NULL,NULL
5,Claudia,"Alexander ","*Program manager for NASA's Galileo mission to Jupiter *Born & raised in Vancouver, BC *Science coordinator for the plasma wave instrument aboard Galileo *Oversaw trafficking & navigation support from NASA's Deep Space Network for Rosetta mission to study & land on comet 67P?Churyumov Gerasimenko *Wrote children's books including some of the ""Windows to Adventure"" series *Also wrote science fiction",1959,2015,Canada,USA,Black,"1983, BA in Geophysics, University of California, Berkeley; 1985, MA in Geophysics & Space Physics, University of California, Los Angeles; 1993, PhD in Atmospheric, Oceanic & Space Sciences specializing in space plasma, University of Michigan",Geophysics; Planetary Science,NASA,"1993, U-M Woman of the Year in Human Relations; 2002, Atmospheric, Oceanic, & Space Sciences Alumni Merit Award; 2003, Emerald Honor for Women of Color in Research & Engineering; Women of Geoscientists Woman of the Year, 1992; 2015, scientists from the Rosetta Mission named a gate-like structure on comet 65P/Churyumov-Gerasimenko C. Alexander Gate in her honor; University of Michigan Women in Science & Engineering office awards the Claudia Joan Alexander Trailblazer Award for Groundbreaking Accomplishments & Contributions to STEM in her honor; since 2007, the Claudia Alexander Scholarship is awarded to an undergraduate at the University of Michigan, established by her uncle Jiles Williams",Project manager for NASAs Galileo mission and Rosetta mission,none,NULL,no,NULL,NULL
6,Hattie Elizabeth,"Alexander ","*1939, developed a serum that decreased infant mortality from meningitis to approximately 25% as opposed to the existing 100% *1964, 1st female to head a national medical association (President of American Pediatrics Society) *1st female recipient of the Oscar B. Hunter Award *Developed the 1st effective remedy for Haemophilus influenzae infection",1901,1968,USA,USA,White,Goucher College BA Bacteriology & Physiology 1923; Johns Hopkins Medical School MD 1930,"Pediatrics, Microbiology; Educator",Columbia-Presbytarian Hospital,"1942, E. Mead Johnson Award, American Academy of Pediatrics; 1956, Elizabeth Blackwell Award, NY Infirmary; 1961, Oscar B. Hunter Memorial Award, American Therapuetics Society; 1963, Babies Hospital Distinguished Service Award","1939, developed an anti-influenzal serum that reduced the mortality rate to 20% for fatal meningitis in children & infants; pioneered the study of bacterial mutations & resistance to antibiotics; 1964, 1st woman to head a national medical association as president of the American Pediatric Society; 1961, 1st woman recipient of the Oscar B. Hunter Memorial Award",Honorary Degree: Goucher College; Wheaton College; Member: American Pediatric Society,NULL,yes,NULL,NULL
7,Linda Marie,Allen,"*Holds a patent for battery powered lamps *Was a competitive figure skater; featured skater in an Ice Capades touring troupe *1996, worked for Earvin ""Magic"" Johnson as a consultant for his Magic Johnson Enterprises Beverly Hills offices *Worked with Disney's Imagineering as a lead designer for custom light fixtures in their theme parks, including Tokyo Disney Seas & Disneyland's California Adventure *Did stints on HGTV's Designing for the Sexes, You're Home, & Area",1961,NULL,USA,USA,Black,"California State University in Long Beach, BS in Interior & Environmental Design",Environmental Design; Interior Design,Magic Johnson Enterprises; Walt Disney Imagineering; HGTV,"Best of Houzz Design 2018 & 2020; 2015, named 1 of Top 20 African-American Designers in U.S.",none,none,NULL,???,NULL,NULL
8,Gloria Long,Anderson,"*Pioneer in the field of nuclear magnetic resonance spectroscopy *Known for studies of fluorine-19 & solid rocket propellants *Started school at 4 years old & already knew how to read *Attended segregated schools with few science & math classes *In college, signed up for chemistry classes on a dare *Was rejected for a job at Ralston-Purina as a chemist because she was African-American *funded her own research; found it difficult to obtain funding due to her race *Appointed by President Nixon for a term on the corporation for Public Broadcasting's Board in 1972; served 7 years",1938,NULL,USA,USA,Black,"B.S. in Chemistry & Mathematics. Arkansas Agricultural, Mechanical & Normal College, 1958; MA in Chemistry, Atlanta University, 1961; PhD in Physical Organic Chemistry, University of Chicago, 1968",Chemistry,Lockheed Georgia Corp; IPECS Holland; Morris Brown College,"1983, named among Brightest Scientists in Atlanta by Atlanta Magazine; 1991, named among Outstanding Black Educators in Atlanta in 1991 edition of SuccessGuide; 1956-1958, Rockefeller Scholarship; 1978, Sixth Edition Award, Atlanta Chapter, National Association of Media Women (NAMW); 1978, Chairlady s Award, Atlanta Chapter NAMW; 1978, Public Broadcasting Service Award, AtlantaChapter NAMW; 1979, Outstanding Black Women, the Utopia Club; 1981, Faculty Industrial Research Fellowship, National Science Foundation; 1982, Certificate of Appreciation, State of Georgia; 1983, Scroll of Honor from the National Association of Negro Business & Professional Women; 1984, Faculty Research Fellowship, Southeastern Center for Electrical Engineering Education, Air Force Office for Scientific Research; 1984, Appreciation Award, Air Force Rocket Laboratory; 1986, Presidential Citation in Recognition of Exemplary Experiences that Honor My Alma Mater, National Association for Equal Opportunity in Higher Education; 1987, Alumni All-Star Excellence Award in Education, University of Arkansas at Pine Bluff; 1989, YWCA Salute to Women of Achievement; 1989-1990, UNCF Distinguished Scholar Award, United Negro College Fund; 1991, Women of Color in the Struggle, A Consortium of Doctors LTD; 1992, 1998, A Salute to Black Mothers:  For Outstanding Contributions to the Black Community, Concerned Black Clergy of Metro Atlanta, Inc; 1993, Proclamation, Gloria Long Anderson Day, City of Atlanta, Georgia; 1998, Outstanding Georgia Citizen, State of Georgia; 2002, Scroll of Honor Award, University of Arkansas at Pine Bluff; 12 teaching awards while at Morris Brown; 9 appreciation plaques dedicated in her honor",holds 2 patents,see wiki article for complete list-very long,NULL,yes,NULL,NULL
9,Mary,Anderson,"*Invented windshield wipers for cars *Born in Alabama at the start of Reconstruction in 1866 *1889, moved to Birmingham, AL & built Fairmont Apartments, an oddity for a Black female of the time *1893, moved to Fresno, CA to operate a cattle ranch & vineyard *1902, visited NYC; while riding in a trolley car during a sleet storm observed the driver had difficulty seeing out of the windshield due to falling sleet; he had to stop frequently to wipe the windshield; this observation led to her inventing windshield wipers *Never financially profited from her invention & allowed the patent to expire in 1920  *1922, Cadillac became the 1st auto manufacturer to adopt wipers as standard equipment on their vehicles",1866,1953,USA,USA,White,unknown,Inventor,Cadillac,National Inventors Hall  of Fame 2011,Windshield wiper,none,NULL,yes,NULL,NULL
11,Mary,Anning,"*Fossil collector, dealer, & paleontologist *Located fossils in Jurassic marine fossil beds in cliffs along English Channel at Lyme Regis in Blue Lias & Charmouth Mudstone Cliffs *Age 12, discovered 1st ichthyosaur skeleton, 1st two nearly complete plesiosaur skeletons & 1st pterosaur skeleton located outside of Germany *Played a key role in discovering coprolites, known as bezoar stones, were fossilized feces *Discovered belemnite fossils contained ink sacs like those of modern cephalopods *Was not eligible for membership in the Geological Society of London because she was female *Males were often credited with her discoveries *1793, lived in a house built on a bridge in Lyme; family once had to evacuate through a 2nd story window to avoid drowning *1 of 10 children born to her parents but only she & and older brother, Joseph, survived to adulthood with most dying before age 2 *Age 15/months, while being held by a neighbor talking to 2 other women under a tree, the tree was struck by lightning; the 3 women died but she survived *Helped financially support her family by finding fossils & selling them to tourists outside her family home; eventually opened a shop on ground floor of the home (1826) *1833, while collecting, part of a cliff collapsed killing her dog who accompanied her on her searches & narrowly missing her",1799,1847,Great Britain,Great Britain,White,learned reading & writing at a Congregationalist Sunday School; self-taught geology & anatomy,Paleontology,none,"approx 1836, awarded civil list pension for her many contributions to the science of geology; 1850, Geological Society of London unveiled a stained glass window in commemoration of her usefulness in furthering the science of geology, first woman to be given a eulogy at a meeting of the Geological Society of London; 2010, the Royal Society listed her as one of 10 women who have most influenced the history of science; 2021, the Royal Mint issued a set of sterling coins named The Mary Anning Collection, early 1840 s Swiss-American naturalist Louis Agassiz named 2 fossil fish species in her honor, since then 5 more species have been named for her; 1991, a cluster of shallow volcanoes in the Northern hemisphere of Venus were named for her; 1999, an asteroid was named for her; 2022, a life-sized statue of her was erected in Lyme Regis on the Jurassic Coast commemorating her fossil hunting in the area",discovered numerous fossils she sold to male geologists who were then credited with their discovery,Member:  Dorset County Museum 1846,NULL,yes,NULL,NULL
