InnovationID,InnovationName,InnovationDescription,Category,Invention,Patents,CoInventor,Completed ,ConnectedWoman,Bundle
1,"invention of new photographic equipment ","""inventions included a distortion enlarging easel  which created unusual effects on images  and the telescopic lighting pole  known today by many studio photographers as an """"autopole """" to which lights can be attached at any level. """,Photography,Camera; Display Mount; Composition Guide; Distorting Easel,2860556;2638299;2626467;2565446,none,yes,1,undefined
2,Develops techniques in artificial intelligence and mathematical algorithms with a focus on distributive justice,"develops mathematical and computational fraAbebe's research develops techniques in artificial intelligence and algorithms, with a focus on inequality and distributive justice. Her work includes algorithmic frameworks for examining issues in underserved populations. Her interest in merging inequality studies and computer science stemmed both from her educational background in Ethiopia as well as her study of the Cambridge public schools through attendance of school board meetings. Through these experiences she emphasizes the potential social harms of inequitable algorithmic design in her work. Throughout 2019 Abebe served on the National Institutes of Health Working Group, which was tasked with developing a comprehensive report and recommendations for the NIH. meworks for examining questions related to inequality and distributive justice; founder of the multi-institutional extradisciplinary research initiatives MD4SG & Black in AI; works with the Ethiopian government to improve the algorithm they use to match H.S. students with colleges;  ",Computer Science - Artificial Intelligence,none,none,none,yes,2,undefined
3,Decontamination of hazardous waste; improving living conditions of the poor,"focused on improving the living conditions of the poor; 1995  co-founded PEER Africa Pty LTD to build energy efficient homes in post-apartheid S. Africa; participated in the clean up of Boston Harbor & worked with Dept of Defense & Dept of Hazardous Waste Remedial Actions Program; ",Chemical Engineering,none,none,none,yes,3,undefined
4,Social Reform,1889  co-founded Hull House with Ellen G. Starr  first settlement house in Chicago; 1908  founding member of Chicago School of Civics & Philanthropy; 1909  first woman president of the National Conference of Charities & Corrections; 1920  co-founder of ACLU; 1901  founded Juvenile Protection Association (provided probation officers for first Juvenile Court in U.S.); first vice president of the Playground Association of America; 1905  charter member of the American Sociological Society; charter member of NAACP; 1907  founding member of National Child Labor Committee,Social Sciences,none,none,none,yes,4,undefined
5,Project manager and scientist of NASA's role in the European-led Rosetta mission to study Comet Churyumov–Gerasimenko.,"Alexander worked for the United States Geological Survey and NASA's Jet Propulsion Laboratory beginning in 1986, and was the project manager of NASA's Galileo mission to Jupiter.  The mission discovered 21 new moons of Jupiter and the presence of an atmosphere on Ganymede. The discovery of the atmosphere, more precisely a ""surface bound exosphere"", caused scientists to rethink their assumptions that Ganymede was an inactive moon. Alexander later served as project manager and scientist of NASA's role in the European-led Rosetta mission to study Comet Churyumov–Gerasimenko.",Astronomy - Planetary Science,none,none,none,yes,5,undefined
6,1940 Research in the diagnosis and treatment of meningitis in children.,"Alexander's work aimed to advance research of infectious diseases and the biology of the microorganisms that cause meningitis in a time before antibiotics or vaccinations. Her research focused primarily on the mechanisms and effects of meningitis in children which at the time had a high mortality rate. In the early 1940s, Alexander began researching Haemophilus influenzae (Hib) meningitis, which was at the time an almost invariably fatal disease in infants and young children. By developing standardized techniques for diagnosis and treatment, she and her associate Grace Leidy helped reduce the mortality rate from Hib from nearly 100 percent to less than 25 percent. Later, Alexander and Leidy studied the effect of antibiotics on Hib. The combined use of the antiserum, sulfa drugs, and antibiotics significantly lowered the mortality rate from Hib. ","Medicine - Pediatric Meningitis ",none,none,none,yes,6,undefined
7,Wireless table & floor lamps,"She started the Live. Anywhere. Collection, a collection of wireless table and floor lamps, for which she owns a patent.","Technology, Household appliances ",Battery powered indoor/outdoor decorative table & floor lamp & LED based light bulb,9488326,David Glenn Glover,yes,7,undefined
8,1968 - Pioneer in the field of nuclear magnetic resonance spectroscopy,"*Anderson was pioneer in the field of nuclear magnetic resonance spectroscopy *Known for studies of fluorine-19 & solid rocket propellants * Funded her own research; found it difficult to obtain funding due to her race * Received her physical organic chemistry Ph.D. in 1968 * Coined the term ""substituent chemical shift"". ",Physical Organic Chemistry,1-adamantyl chalcones for the treatment of proliferative disorders; Method for preparing some 1-adamantancecarboxamides,#7563789; #6348625,Tawfeq Aboul-Raheem Kaimari,yes,8,undefined
9,Windshield Wiper Blade,"In a visit to New York City in the winter of 1902, Anderson sat in a trolley car on a frosty day. She observed that the trolley car driver struggled to see past the windows because of the falling sleet. To clear the sights, the driver needed to open the window, lean out of the vehicle, or stop the car to go outside in order to wipe the windscreen with his or her hands. Anderson, who was not an engineer but an entrepreneur, identified the problem and its opportunity. She envisioned a windshield wiper blade that the trolley driver could operate from the inside. Her new device consisted of a lever inside the vehicle that controlled a rubber blade on the outside of the windshield. The lever could be operated to cause the spring-loaded arm to move back and forth across the windshield. A counterweight was used to ensure contact between the wiper and the window. The device could be easily removed if desired after the winter was over. She applied for, and in 1903 was granted, a 17-year patent for a windshield wiper. The patent application was filed on June 18, 1903. On November 10, 1903, the United States Patent Office awarded Anderson patent number 743,801 for her Window Cleaning device.",Automotive,Windshield wiper Blade operated manually,"""743 801""",none,yes,9,undefined
11,Palentology,1811  discovered the first full skeleton of an Ichthyosaurus; 1823  discovered the first full Plesiosaurus skeleton; 1828  discovered the first Pterosaur skeleton outside of Germany; pioneered the study of Coprolites (poo); discovered Belemnite fossils contained fossillized ink sacs like those of modern cephalopods; 1829  discovered a Squaloraja fish skeleton;,Palentology,none,none,none,yes,11,undefined
